feature,gain_importance,permutation_importance,shap_mean_abs,gain_importance_pct,shap_importance_pct
produtividade_ma3,58917150326.0,75.33034028570324,152.71857657166098,37.69,20.49
trend,19736643312.0,0.0,112.32386578315469,12.62,15.07
deficit_ratio_enchimento,13499875808.0,-0.20305846518593285,31.402054748798918,8.64,4.21
produtividade_lag1,6430929676.0,47.151674862458535,58.28302706281043,4.11,7.82
radiation_total,5825242348.0,0.812097925573795,12.282598736106882,3.73,1.65
fert_import_ton,4764903876.0,0.5257216841718446,28.82117148565615,3.05,3.87
precip_vegetativo_mm,3212713194.0,3.787233445256908,24.43754510640333,2.06,3.28
deficit_vegetativo_mm,2959614072.0,0.44693650912983857,15.974519996469605,1.89,2.14
water_deficit_ratio,2707217082.0,0.01629684189566092,7.872480246479511,1.73,1.06
mun_yield_hist_mean,2692995472.0,0.5571556578643737,19.03192499340291,1.72,2.55
deficit_enchimento_mm,2403345260.0,0.4243101920730908,7.634591963057981,1.54,1.02
precip_plantio_mm,2002871668.0,3.907852726801792,14.27219170828427,1.28,1.91
precip_enchimento_mm,1971114980.0,1.3390518631171404,13.221819390020984,1.26,1.77
sinistro_rate_3yr,1924040864.0,1.6424046390469527,14.609152804249872,1.23,1.96
terminal_drought_stress,1521428316.0,-0.39632358125684847,10.679878413324127,0.97,1.43
precip_cv,1267338168.0,0.09455785514476248,2.7373200505239614,0.81,0.37
oni_std,1223908104.0,0.0,14.200882337099765,0.78,1.91
precip_days_gt1mm,1122518740.0,0.2498667904835088,2.746123954462882,0.72,0.37
pct_soja,1108004560.0,0.7608427040275132,15.25313418521217,0.71,2.05
oni_avg,1105027182.0,0.0,13.86094629345863,0.71,1.86
radiation_mean,1074509300.0,-0.15092980110313475,9.451467717292143,0.69,1.27
eto_plantio_mm,913906386.0,-0.23300137289215286,2.886487667196214,0.58,0.39
eto_vegetativo_mm,746752754.0,0.5045195801586715,7.547018278955789,0.48,1.01
precip_enchimento_anomaly,729289560.0,0.6962004492698298,4.610415329294544,0.47,0.62
tmin_plantio,727858140.0,0.24876693994455934,3.3383751079871997,0.47,0.45
sul_x_precip_anomaly,716148210.0,0.0,1.2863054024613052,0.46,0.17
tmin_vegetativo,690413020.0,4.839021497179365,3.9253326813049703,0.44,0.53
sand_x_deficit,624031756.0,0.6217727883240258,5.636888350084234,0.4,0.76
enchimento_stress,599391570.0,-0.3830721129891913,5.357755077160226,0.38,0.72
clay_0_30cm,585135610.0,0.19579805783633047,6.676163661862165,0.37,0.9
tmax_plantio,570270170.0,0.5728616572823739,2.666989342054973,0.36,0.36
tmax_vegetativo,555294004.0,0.5858254040223301,6.347739812117915,0.36,0.85
tmean_plantio,541047970.0,2.3519838117242755,3.4105965666831484,0.35,0.46
sul_x_hot_days_anomaly,481728000.0,0.0,3.7746252649816388,0.31,0.51
mun_yield_volatility,427303540.0,0.3662660208554314,5.351472290203693,0.27,0.72
deficit_plantio_mm,410245520.0,-0.1554728005549265,2.44515613154106,0.26,0.33
tmean_vegetativo,367597570.0,0.3973665194030474,3.7431403719303984,0.24,0.5
oni_min,367396876.0,0.0,3.5078281836097065,0.24,0.47
hot_days_enchimento,341055984.0,0.14008806799273543,1.4229942602864032,0.22,0.19
gdd_anomaly,335378030.0,0.007284432142265018,3.985445535596057,0.21,0.53
tmax_enchimento,318756870.0,0.0493877452799353,2.6373143291632637,0.2,0.35
dry_spell_x_hot_anom,306595120.0,0.011466713964026098,1.5182064246556177,0.2,0.2
oni_max,302349666.0,0.0,2.617583410086427,0.19,0.35
irrigacao_x_deficit,297611390.0,0.8136722057245919,3.8806518977656554,0.19,0.52
gdd_enchimento,283562740.0,0.02333705538274842,1.0428037697568249,0.18,0.14
dry_spell_anomaly,266987160.0,0.0772929450477875,1.7016179968195706,0.17,0.23
clay_30_100cm,263456614.0,0.09540552436584164,2.5698193405479475,0.17,0.34
eto_enchimento_mm,261948880.0,0.5253402348533939,2.023436742585039,0.17,0.27
hot_days_anomaly,246647130.0,-0.05971235463968867,1.349915370164497,0.16,0.18
sand_x_la_nina_sul,245545300.0,0.0,2.1783153410803107,0.16,0.29
is_sul,225297192.0,0.0,1.4194894129290092,0.14,0.19
precip_total_mm,216472450.0,-0.32139805413928857,1.8581558697203355,0.14,0.25
clay_sand_ratio,210809040.0,-0.07030402234960889,1.2728963558251218,0.13,0.17
dry_spell_count_10d,206525710.0,0.22745389859670978,3.634780083488876,0.13,0.49
nitrogen_0_30cm,201035080.0,-0.16502658904400674,3.695497955213194,0.13,0.5
tmin_enchimento,195429740.0,-0.0669359378854864,1.2894489696073315,0.13,0.17
silt_0_30cm,175997770.0,-0.20789670985026304,5.844143698798838,0.11,0.78
sand_x_drought,174401650.0,-0.07742453712296822,1.0839040086102851,0.11,0.15
tmin_avg,159129980.0,0.009960345750545229,1.1716358196267231,0.1,0.16
gdd_vegetativo,158905570.0,0.10983200674687339,2.0162096000047307,0.1,0.27
eto_mean_mm,158811320.0,0.014849456826669893,1.4237091187936735,0.1,0.19
sand_0_30cm,157362440.0,0.049350092054433504,1.3802585622347476,0.1,0.19
dry_spell_count_7d,149598714.0,0.0,0.3177066969651389,0.1,0.04
precip_anomaly,142223660.0,-0.0029840640310595744,0.6618677881983293,0.09,0.09
fert_x_precip,134420330.0,0.009507333584937782,1.0677206309995584,0.09,0.14
bdod_0_30cm,128268520.0,0.012959249374267756,1.805315031537247,0.08,0.24
hot_days_vegetativo,126870050.0,-0.040562719971825346,1.1903313482978464,0.08,0.16
tmean_avg,120819930.0,-0.023938574762436816,0.8619948077811328,0.08,0.12
el_nino_x_precip_anom,107810210.0,0.0,1.2045014932157245,0.07,0.16
tmean_enchimento,107014030.0,-0.03217518618095028,0.44901509864278816,0.07,0.06
soc_x_heat_stress,102845360.0,-0.4914892955300587,1.9395102698677866,0.07,0.26
eto_total_mm,96111430.0,-0.06605783583737548,1.0915156352642763,0.06,0.15
water_deficit_mm,95493190.0,0.09260066290760278,1.8350729082581854,0.06,0.25
temp_anomaly,93589620.0,0.12553836557420936,0.9876611676454777,0.06,0.13
ph_x_cerrado,93016750.0,0.024924799394102592,2.317101676363226,0.06,0.31
dry_spell_max,86197140.0,-0.4842212407567786,1.930012650822855,0.06,0.26
gdd_plantio,83811660.0,0.05203438789563677,0.6799935157169932,0.05,0.09
la_nina_x_precip_anom,81891460.0,0.03933122630000128,0.4180433721593662,0.05,0.06
tmax_avg,79828890.0,-0.5939559016158171,0.5843837783125524,0.05,0.08
soc_0_30cm,77746300.0,0.06994944462529702,1.4860546181522518,0.05,0.2
hot_days_count,77151310.0,-0.1253890551868892,0.6875330432984551,0.05,0.09
ndvi_x_precip_deficit,70759480.0,0.014658681399311035,1.2443618695260208,0.05,0.17
ndvi_amplitude,70363190.0,0.006891601280528903,0.7626863845962938,0.05,0.1
heat_drought_stress,70273570.0,-0.015812038407310068,1.0183248159759481,0.04,0.14
la_nina_x_deficit,70237180.0,-0.06627650069096092,0.36455016348858055,0.04,0.05
phh2o_30_100cm,67293270.0,-0.14728743004435502,0.43233991904246366,0.04,0.06
hot_days_plantio,66158700.0,0.3310620727264933,0.7122779987030081,0.04,0.1
awc_x_dry_spell,60119720.0,0.058255854601543436,0.4887864341408451,0.04,0.07
la_nina_x_precip_ench_anom,59417050.0,-0.10393877013176507,0.4237405926959893,0.04,0.06
gdd_accumulated,58189960.0,-0.02318149978933377,1.1582590429014756,0.04,0.16
sand_30_100cm,57531690.0,-0.012145551535505205,1.0932765835268343,0.04,0.15
awc_x_deficit,54923130.0,0.02141052034534141,0.4684072078716063,0.04,0.06
cec_0_30cm,52205570.0,-0.004500093301123798,0.9921292770028127,0.03,0.13
phh2o_0_30cm,49578110.0,-0.016245217849541405,0.4846868197769917,0.03,0.07
ndvi_max_safra,42097740.0,-0.12548619311979223,1.7580089617594044,0.03,0.24
clay_x_precip_deficit,41569790.0,-0.014950928386605255,0.5789634685676249,0.03,0.08
ndvi_ench_x_la_nina,40533550.0,-0.005550123777106819,0.8433116929921168,0.03,0.11
cec_normalized,34973790.0,0.01596573050081531,0.5816534225733271,0.02,0.08
pct_irrigado,31965830.0,0.18304788979961018,0.395115178818348,0.02,0.05
ndvi_min_safra,21511100.0,-0.03490584999599093,1.017623498906862,0.01,0.14
ndvi_plantio,19158740.0,0.04836449922129873,0.49732896250790465,0.01,0.07
ndvi_vegetativo,17694250.0,0.02043853244559557,0.386557952372645,0.01,0.05
soil_quality_index,16982540.0,0.0,0.30147193041525305,0.01,0.04
ndvi_enchimento,15198620.0,0.02444119457402394,0.29061191514219803,0.01,0.04
sul_x_la_nina,13279350.0,0.0,0.0990216549013594,0.01,0.01
ndvi_mean_safra,13038790.0,0.0,0.12184746331201404,0.01,0.02
is_la_nina,0.0,0.0,0.0,0.0,0.0
is_el_nino,0.0,0.0,0.0,0.0,0.0
awc_estimated,0.0,0.0,0.0,0.0,0.0
ph_acidic,0.0,0.0,0.0,0.0,0.0
sinistro_x_la_nina,0.0,0.0,0.0,0.0,0.0
